Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,30/03/13,Mainz,Werder Bremen,1,1,1,0,105,250,250,-147,114,-0.25
D1,30/03/13,Schalke 04,Hoffenheim,3,0,0,0,-175,310,450,-152,117,-1
D1,30/03/13,Stuttgart,Dortmund,1,2,0,1,280,260,-110,-149,117,0.75
D1,31/03/13,Greuther Furth,Ein Frankfurt,2,3,1,1,225,225,125,113,-145,0.25
D1,31/03/13,Wolfsburg,Nurnberg,2,2,2,0,100,250,260,106,-133,-0.5
D1,05/04/13,Hoffenheim,Fortuna Dusseldorf,3,0,1,0,100,240,275,113,-143,-0.25
D1,06/04/13,Dortmund,Augsburg,4,2,1,2,-333,450,800,-222,162,-1.5
D1,06/04/13,Ein Frankfurt,Bayern Munich,0,1,0,0,500,300,-189,-143,113,1
D1,06/04/13,Hamburg,Freiburg,0,1,0,0,130,230,210,-104,-120,-0.25
D1,06/04/13,Leverkusen,Wolfsburg,1,1,1,0,-200,333,500,-159,123,-1
D1,06/04/13,M'gladbach,Greuther Furth,1,0,0,0,-161,275,450,102,-127,-1
D1,06/04/13,Werder Bremen,Schalke 04,0,2,0,0,160,240,160,-189,140,0
D1,07/04/13,Hannover,Stuttgart,0,0,0,0,130,230,210,-141,110,-0.25
D1,07/04/13,Nurnberg,Mainz,2,1,0,0,140,220,200,114,-145,-0.25
D1,12/04/13,Freiburg,Hannover,3,1,2,1,-143,260,400,-115,-108,-0.75
D1,13/04/13,Bayern Munich,Nurnberg,4,0,3,0,-455,500,1200,-217,157,-2
D1,13/04/13,Fortuna Dusseldorf,Werder Bremen,2,2,1,1,180,230,150,-137,108,0.25
D1,13/04/13,Greuther Furth,Dortmund,1,6,0,5,650,375,-250,-156,123,1.5
D1,13/04/13,Mainz,Hamburg,1,2,0,0,105,240,260,104,-130,-0.25
D1,13/04/13,Schalke 04,Leverkusen,2,2,0,1,125,240,210,-149,118,-0.25
D1,13/04/13,Wolfsburg,Hoffenheim,2,2,1,1,120,230,230,-108,-115,-0.25
D1,14/04/13,Augsburg,Ein Frankfurt,2,0,1,0,138,225,200,107,-135,-0.25
D1,14/04/13,Stuttgart,M'gladbach,2,0,2,0,120,230,230,111,-141,-0.25
D1,19/04/13,M'gladbach,Augsburg,1,0,1,0,130,220,210,105,-132,0
D1,20/04/13,Dortmund,Mainz,2,0,1,0,-227,350,550,-175,131,-1
D1,20/04/13,Ein Frankfurt,Schalke 04,1,0,1,0,200,240,130,-139,109,0.25
D1,20/04/13,Hamburg,Fortuna Dusseldorf,2,1,2,1,-120,250,333,-116,-108,-0.75
D1,20/04/13,Hannover,Bayern Munich,1,6,0,3,450,300,-175,-143,112,1
D1,20/04/13,Leverkusen,Hoffenheim,5,0,2,0,-227,350,550,-161,122,-1
D1,20/04/13,Werder Bremen,Wolfsburg,0,3,0,2,100,260,250,-169,126,-0.25
D1,21/04/13,Nurnberg,Greuther Furth,0,1,0,1,-133,250,375,104,-132,-1
D1,21/04/13,Stuttgart,Freiburg,2,1,2,0,130,240,200,-115,-109,0
D1,26/04/13,Greuther Furth,Hannover,2,3,1,1,130,240,200,-127,102,-0.25
D1,27/04/13,Augsburg,Stuttgart,3,0,0,0,125,225,225,-104,-120,-0.25
D1,27/04/13,Bayern Munich,Freiburg,1,0,1,0,-455,500,1100,-227,163,-2
D1,27/04/13,Fortuna Dusseldorf,Dortmund,1,2,0,1,375,300,-149,-152,119,0.75
D1,27/04/13,Hoffenheim,Nurnberg,2,1,2,0,100,240,275,106,-133,-0.75
D1,27/04/13,Leverkusen,Werder Bremen,1,0,1,0,-250,375,600,-222,163,-1
D1,27/04/13,Wolfsburg,M'gladbach,3,1,1,0,110,240,240,101,-127,-0.25
D1,28/04/13,Mainz,Ein Frankfurt,0,0,0,0,105,240,250,-105,-118,-0.25
D1,28/04/13,Schalke 04,Hamburg,4,1,2,1,-175,310,450,-192,142,-1
D1,03/05/13,M'gladbach,Schalke 04,0,1,0,0,250,240,105,-128,102,0.25
D1,04/05/13,Dortmund,Bayern Munich,1,1,1,1,210,240,125,-145,114,0.25
D1,04/05/13,Ein Frankfurt,Fortuna Dusseldorf,3,1,1,0,-125,250,350,-127,101,-0.75
D1,04/05/13,Hannover,Mainz,2,2,1,1,138,240,190,-122,-103,-0.25
D1,04/05/13,Nurnberg,Leverkusen,0,2,0,1,275,260,-110,-147,115,0.25
D1,04/05/13,Stuttgart,Greuther Furth,0,2,0,0,-149,275,400,-130,104,-0.75
