Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,10/02/2019,Valencia,Sociedad,0,0,0,0,-120,250,350,102,-125,-1
SP1,11/02/2019,Alaves,Levante,2,0,1,0,100,240,280,-103,-119,-0.25
SP1,15/02/2019,Eibar,Getafe,2,2,0,1,105,230,300,164,-213,-0.25
SP1,16/02/2019,Barcelona,Valladolid,1,0,1,0,-714,800,1400,-278,207,-2
SP1,16/02/2019,Celta,Levante,1,4,0,2,-125,280,350,-154,122,-1
SP1,16/02/2019,Sociedad,Leganes,3,0,0,0,105,210,320,148,-189,-0.25
SP1,16/02/2019,Vallecano,Ath Madrid,0,1,0,0,500,250,-154,117,-147,1
SP1,17/02/2019,Betis,Alaves,1,1,1,1,-139,250,425,126,-159,-1
SP1,17/02/2019,Real Madrid,Girona,1,2,1,0,-625,700,1400,-244,184,-2
SP1,17/02/2019,Valencia,Espanol,0,0,0,0,-139,270,380,-108,-115,-1
SP1,17/02/2019,Villarreal,Sevilla,3,0,2,0,150,240,180,-122,-102,-0.25
SP1,18/02/2019,Huesca,Ath Bilbao,0,1,0,1,210,210,150,131,-164,0.25
SP1,22/02/2019,Espanol,Huesca,1,1,1,0,-139,260,400,101,-123,-1
SP1,23/02/2019,Alaves,Celta,0,0,0,0,130,230,220,119,-147,-0.25
SP1,23/02/2019,Ath Bilbao,Eibar,1,0,1,0,110,225,280,134,-167,-0.25
SP1,23/02/2019,Getafe,Vallecano,2,1,1,0,-143,260,450,134,-167,-1
SP1,23/02/2019,Sevilla,Barcelona,2,4,2,1,250,300,-105,-204,157,0.75
SP1,24/02/2019,Ath Madrid,Villarreal,2,0,1,0,-175,275,600,115,-143,-1
SP1,24/02/2019,Leganes,Valencia,1,1,0,1,180,210,170,148,-185,0.25
SP1,24/02/2019,Levante,Real Madrid,1,2,0,1,425,375,-189,-278,207,1
SP1,24/02/2019,Valladolid,Betis,0,2,0,1,170,220,175,130,-161,-0.25
SP1,25/02/2019,Girona,Sociedad,0,0,0,0,137,220,200,116,-145,-0.25
SP1,01/03/2019,Vallecano,Girona,0,2,0,1,125,240,220,-106,-115,-0.5
