Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,11/02/2018,Southampton,Liverpool,0,2,0,2,320,279,-125,-132,130,0.75
E0,12/02/2018,Chelsea,West Brom,3,0,1,0,-278,375,700,-128,117,-1.25
E0,24/02/2018,Bournemouth,Newcastle,2,2,0,2,110,250,279,101,-105,-0.25
E0,24/02/2018,Brighton,Swansea,4,1,1,0,114,225,300,175,-175,-0.25
E0,24/02/2018,Burnley,Southampton,1,1,0,0,189,210,179,170,-175,0.25
E0,24/02/2018,Leicester,Stoke,1,1,0,1,-139,289,425,-105,100,-0.75
E0,24/02/2018,Liverpool,West Ham,4,1,1,0,-455,650,1200,-208,200,-1.75
E0,24/02/2018,Watford,Everton,1,0,0,0,125,239,250,114,-120,-0.25
E0,24/02/2018,West Brom,Huddersfield,1,2,0,0,-105,229,375,163,-169,-0.75
E0,25/02/2018,Crystal Palace,Tottenham,0,1,0,0,650,350,-200,-125,121,1.25
E0,25/02/2018,Man United,Chelsea,2,1,1,1,129,225,250,116,-123,-0.25
E0,01/03/2018,Arsenal,Man City,0,3,0,3,350,300,-139,-189,175,0.75
E0,03/03/2018,Burnley,Everton,2,1,0,1,150,210,229,178,-189,-0.25
E0,03/03/2018,Leicester,Bournemouth,1,1,0,1,-118,275,350,-122,114,-0.75
E0,03/03/2018,Liverpool,Newcastle,2,0,1,0,-455,600,1400,-222,200,-2
E0,03/03/2018,Southampton,Stoke,0,0,0,0,-133,275,425,110,-115,-0.75
E0,03/03/2018,Swansea,West Ham,4,1,2,0,160,225,200,142,-145,-0.25
E0,03/03/2018,Tottenham,Huddersfield,2,0,1,0,-526,650,1600,-161,155,-2
E0,03/03/2018,Watford,West Brom,1,0,0,0,114,229,289,127,-130,-0.25
E0,04/03/2018,Brighton,Arsenal,2,1,2,1,320,279,-111,-116,111,0.75
E0,04/03/2018,Man City,Chelsea,1,0,0,0,-164,320,500,-130,130,-1
E0,05/03/2018,Crystal Palace,Man United,2,3,1,0,600,300,-175,105,-109,1
E0,10/03/2018,Chelsea,Crystal Palace,2,1,2,0,-333,475,1100,-133,125,-1.5
E0,10/03/2018,Everton,Brighton,2,0,0,0,120,220,289,145,-149,-0.25
E0,10/03/2018,Huddersfield,Swansea,0,0,0,0,154,210,220,164,-175,-0.25
E0,10/03/2018,Man United,Liverpool,2,1,2,0,175,239,175,-102,-103,-0.25
E0,10/03/2018,Newcastle,Southampton,3,0,2,0,179,220,179,138,-143,-0.25
E0,10/03/2018,West Brom,Leicester,1,4,1,1,200,225,160,126,-135,0.25
E0,10/03/2018,West Ham,Burnley,0,3,0,0,129,220,260,157,-167,-0.25
E0,11/03/2018,Arsenal,Watford,3,0,1,0,-227,400,650,-179,175,-1
E0,11/03/2018,Bournemouth,Tottenham,1,4,1,1,550,350,-182,-152,145,1
E0,12/03/2018,Stoke,Man City,0,2,0,1,1400,550,-400,-189,175,2
E0,17/03/2018,Bournemouth,West Brom,2,1,0,0,-120,260,400,105,-108,-0.75
