Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,23/04/11,Tottenham,West Brom,2,2,1,1,-175,300,500,-133,125
E0,23/04/11,Wolves,Fulham,1,1,1,0,150,225,188,117,-130
E0,24/04/11,Bolton,Arsenal,2,1,1,0,350,280,-133,-143,133
E0,25/04/11,Blackburn,Man City,0,1,0,0,260,230,110,111,-119
E0,26/04/11,Stoke,Wolves,3,0,2,0,-125,240,400,115,-123
E0,27/04/11,Fulham,Bolton,3,0,1,0,-125,250,375,110,-114
E0,30/04/11,Blackburn,Bolton,1,0,1,0,-110,250,300,102,-104
E0,30/04/11,Blackpool,Stoke,0,0,0,0,163,240,163,-128,119
E0,30/04/11,Chelsea,Tottenham,2,1,1,1,-227,333,650,-137,128
E0,30/04/11,Sunderland,Fulham,0,3,0,1,160,220,180,130,-149
E0,30/04/11,West Brom,Aston Villa,2,1,0,1,138,230,200,-114,105
